haskell-connection 0.3.1-192
haskell-contravariant 1.5.5-3
haskell-cookie 0.4.5-12
haskell-cryptonite 0.30-11
haskell-data-default 0.7.1.1-219
haskell-data-default-class 0.1.2.0-24
haskell-data-default-instances-containers 0.0.1-36
haskell-data-default-instances-dlist 0.0.1-232
haskell-data-default-instances-old-locale 0.0.1-36
haskell-data-fix 0.3.2-43
haskell-dbus 1.2.22-43
haskell-distributive 0.6.2.1-143
haskell-dlist 1.0-154
haskell-extensible-exceptions 0.1.1.4-36
haskell-free 5.1.7-75
haskell-ghc-bignum-orphans 0.1.1-1
haskell-hashable 1.4.0.1-6
haskell-hinotify 0.4.1-112
haskell-hourglass 0.2.12-187
haskell-http 4000.4.0-12
haskell-http-client 0.7.11-14
haskell-http-client-tls 0.3.6.1-6
haskell-http-conduit 2.3.8-181
haskell-http-types 0.12.3-227
haskell-indexed-traversable 0.1.2-2
haskell-indexed-traversable-instances 0.1.1-17
haskell-integer-logarithms 1.0.3.1-6
haskell-invariant 0.5.5-27
haskell-iproute 1.7.12-19
haskell-kan-extensions 5.2.3-58
haskell-lens 5.1-28
haskell-libmpd 0.10.0.0-87
haskell-memory 0.17.0-7
haskell-mime-types 0.1.0.9-14
haskell-monad-loops 0.4.3-25
haskell-mono-traversable 1.0.15.3-44
haskell-netlink 1.1.1.0-13
haskell-network 3.1.2.7-19
haskell-network-uri 2.6.4.1-76
haskell-old-locale 1.0.0.7-30
haskell-onetuple 0.3.1-16
haskell-parallel 3.2.2.0-17
haskell-parsec-numbers 0.1.0-18
haskell-pem 0.2.4-224
haskell-pretty-hex 1.1-9
haskell-primitive 0.7.3.0-44
haskell-profunctors 5.6.2-81
haskell-random 1.2.1-91
haskell-reflection 2.1.6-137
haskell-regex-base 0.94.0.2-2
haskell-regex-compat 0.95.2.1-6
haskell-regex-posix 0.96.0.1-3
haskell-resourcet 1.2.4.3-43
haskell-safe-exceptions 0.1.7.2-46
haskell-scientific 0.3.7.0-54
haskell-semigroupoids 5.3.7-25
haskell-setlocale 1.0.0.10-4
haskell-socks 0.6.1-171
haskell-split 0.2.3.4-186
haskell-splitmix 0.1.0.4-58
haskell-statevar 1.2.2-2
haskell-streaming-commons 0.2.2.4-14
haskell-strict 0.4.0.1-110
haskell-tagged 0.8.6.1-5
haskell-th-abstraction 0.4.3.0-2
haskell-th-compat 0.1.3-38
haskell-th-lift 0.8.2-11
haskell-these 1.1.1.1-137
haskell-time-compat 1.9.6.1-38
haskell-timezone-olson 0.2.1-1
haskell-timezone-series 0.1.13-1
haskell-tls 1.5.7-24
haskell-transformers-base 0.4.6-43
haskell-transformers-compat 0.7.1-2
haskell-typed-process 0.2.8.0-27
haskell-unliftio-core 0.2.0.1-9
haskell-unordered-containers 0.2.18.0-4
haskell-utf8-string 1.0.2-91
haskell-uuid-types 1.0.5-58
haskell-vector 0.12.3.1-80
haskell-vector-algorithms 0.8.0.4-106
haskell-void 0.7.3-144
haskell-x11 1.10.2-1
haskell-x11-xft 0.3.4-7
haskell-x509 1.7.6-14
haskell-x509-store 1.6.9-21
haskell-x509-system 1.6.7-24
haskell-x509-validation 1.6.12-26
haskell-xml-conduit 1.9.1.1-100
haskell-xml-types 0.3.8-8
haskell-zlib 0.6.2.3-74
hicolor-icon-theme 0.17-2
hidapi 0.11.2-1
htop 3.2.0-1
http-parser 2.9.4-1
hunspell 1.7.0-3
hwdata 0.359-1
hwloc 2.7.1-1
hyphen 2.8.8-3
i3-gaps 4.20.1-2
i3blocks 1.5-3
i3lock 2.13-1
i3status 2.14-1
iana-etc 20220427-1
icu 71.1-1
ijs 0.35-3
imagemagick 7.1.0.33-1
imlib2 1.9.0-3
iniparser 4.1-4
intltool 0.51.0-6
iproute2 5.17.0-3
iptables 1:1.8.7-1
iputils 20211215-1
iso-codes 4.9.0-1
itstool 1:2.0.7-1
jack2 1.9.21-1
jansson 2.14-2
java-environment-common 3-3
java-runtime-common 3-3
jdk11-openjdk 11.0.15.u10-1
jq 1.6-4
jre11-openjdk 11.0.15.u10-1
jre11-openjdk-headless 11.0.15.u10-1
js78 78.15.0-4
json-c 0.16-1
json-glib 1.6.6-2
jsoncpp 1.9.5-2
kactivities 5.93.0-1
karchive 5.93.0-1
kauth 5.93.0-1
kbd 2.4.0-2
kbookmarks 5.93.0-1
kcodecs 5.93.0-1
kcompletion 5.93.0-1
kconfig 5.93.0-1
kconfigwidgets 5.93.0-1
kcoreaddons 5.93.0-1
kcrash 5.93.0-1
kdbusaddons 5.93.0-1
kdeclarative 5.93.0-1
kded 5.93.0-1
keyutils 1.6.3-1
kglobalaccel 5.93.0-1
kguiaddons 5.93.0-1
ki18n 5.93.0-1
kiconthemes 5.93.0-1
kio 5.93.0-1
kirigami2 5.93.0-1
kitemviews 5.93.0-1
kjobwidgets 5.93.0-1
kmod 29-3
knotifications 5.93.0-1
kpackage 5.93.0-1
krb5 1.19.3-1
kservice 5.93.0-1
ktextwidgets 5.93.0-1
kwallet 5.93.0-1
kwayland 5.93.0-2
kwidgetsaddons 5.93.0-1
kwindowsystem 5.93.0-1
kxmlgui 5.93.0-1
l-smash 2.14.5-2
lame 3.100-3
lcms2 2.13.1-1
ldb 2:2.5.0-1
ldns 1.8.1-1
less 1:590-1
lib32-acl 2.3.1-1
lib32-alsa-lib 1.2.6.1-1
lib32-alsa-plugins 1.2.6-1
lib32-at-spi2-atk 2.38.0-2
lib32-at-spi2-core 2.44.1-1
lib32-atk 2.38.0-1
lib32-attr 2.5.1-1
lib32-brotli 1.0.9-4
lib32-bzip2 1.0.8-2
lib32-cairo 1.17.6-2
lib32-colord 1.4.6-1
lib32-curl 7.83.0-1
lib32-dbus 1.14.0-1
lib32-e2fsprogs 1.46.5-1
lib32-expat 2.4.8-1
lib32-faudio 22.05-1
lib32-flac 1.3.4-2
lib32-fontconfig 2:2.14.0-1
lib32-freetype2 2.12.1-1
lib32-fribidi 1.0.12-1
lib32-gcc-libs 11.2.0-4
lib32-gdk-pixbuf2 2.42.8-1
lib32-gettext 0.21-1
lib32-giflib 5.2.1-1
lib32-glib-networking 2.72.0-1
lib32-glib2 2.72.1-1
lib32-glibc 2.35-3
lib32-glu 9.0.2-3
lib32-gmp 6.2.1-1
lib32-gnutls 3.7.4-1
lib32-gst-plugins-base-libs 1.20.2-1
lib32-gstreamer 1.20.2-1
lib32-gtk3 3.24.33-1
lib32-harfbuzz 4.2.1-1
lib32-icu 71.1-1
lib32-json-glib 1.6.6-2
lib32-keyutils 1.6.3-1
lib32-krb5 1.19.3-2
lib32-lcms2 2.13.1-1
lib32-libasyncns 0.8+3+g68cd5af-2
lib32-libcanberra 1:0.30+r2+gc0620e4-1
lib32-libcap 2.64-1
lib32-libcups 2.4.1-1
lib32-libdatrie 0.2.13-1
lib32-libdrm 2.4.110-1
lib32-libelf 0.187-1
lib32-libepoxy 1.5.10-1
lib32-libffi 3.4.2-4
lib32-libgcrypt 1.10.1-1
lib32-libglvnd 1.4.0-2
lib32-libgpg-error 1.45-1
lib32-libice 1.0.10-1
lib32-libidn2 2.3.2-1
lib32-libjpeg-turbo 2.1.3-1
lib32-libldap 2.6.1-1
lib32-libltdl 2.4.7-1
lib32-libnl 3.6.0-1
lib32-libogg 1.3.5-1
lib32-libpcap 1.10.1-1
lib32-libpciaccess 0.16-1
lib32-libpng 1.6.37-3
lib32-libproxy 0.4.17-2
lib32-libpsl 0.21.1-2
lib32-libpulse 15.0-2
lib32-librsvg 2:2.54.1-1
lib32-libsm 1.2.3-1
lib32-libsndfile 1.1.0-1
lib32-libsoup 2.74.2-1
lib32-libssh2 1.10.0-1
lib32-libtasn1 4.18.0-1
lib32-libthai 0.1.29-1
lib32-libtiff 4.3.0-2
lib32-libtirpc 1.3.2-2
lib32-libunistring 1.0-1
lib32-libunwind 1.6.2-1
lib32-libva 2.14.0-1
lib32-libvorbis 1.3.7-1
lib32-libx11 1.8-1
lib32-libxau 1.0.9-1
lib32-libxcb 1.15-1
lib32-libxcomposite 0.4.5-1
lib32-libxcrypt 4.4.28-1
lib32-libxcursor 1.2.1-1
lib32-libxdamage 1.1.5-1
lib32-libxdmcp 1.1.3-1
lib32-libxext 1.3.4-1
lib32-libxfixes 6.0.0-1
lib32-libxft 2.3.4-1
lib32-libxi 1.8-1
lib32-libxinerama 1.1.4-1
lib32-libxkbcommon 1.4.0-1
lib32-libxml2 2.9.13-2
lib32-libxrandr 1.5.2-1
lib32-libxrender 0.9.10-2
lib32-libxshmfence 1.3-2
lib32-libxslt 1.1.35-1
lib32-libxss 1.2.3-1
lib32-libxtst 1.2.3-2
lib32-libxv 1.0.11-2
lib32-libxxf86vm 1.1.4-2
lib32-llvm-libs 13.0.1-1
lib32-lm_sensors 1:3.6.0.r41.g31d1f125-1
lib32-mesa 22.0.3-1
lib32-mpg123 1.29.3-1
lib32-ncurses 6.3-1
lib32-nettle 3.7.3-1
lib32-nspr 4.33-2
lib32-nss 3.78-1
lib32-ocl-icd 2.3.1-1
lib32-openal 1.22.0-1
lib32-openssl 1:1.1.1.n-1
lib32-opus 1.3.1-2
